1,0,0,0,1
2,30,1.9,492,1
3,60,8.2,1000,1
4,90,19.6,1977,1
5,120,39.8,3721,1
6,150,70.2,6267,2
7,180,102,6204,2
8,210,129,6600,2
9,240,152,7203,2
10,270,169,8012,2
11,300,182,9009,2
12,330,192,10191,2
13,360,197,11591,2
14,390,200,13200,2
15,420,201,15089,2
16,450,200,17414,2
17,480,199,20243,2
18,510,199,23735,2
19,540,199,27013,2
